May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,,,,
"38,0","3,0",<0.1,"0,9",S/P,S/P,S/P,S/P,"1,0",S/P,<0.1,S/P
"4,0",S/P,"4,0","1,0",S/P,S/P,S/P,S/P,S/P,"5,0",<0.1,S/P
"14,0",S/P,S/P,"0,2",S/P,S/P,S/P,S/P,"0,5",S/P,S/P,"0,5"
S/P,"4,0","35,0",S/P,S/P,S/P,"0,5",S/P,S/P,S/P,S/P,"10,8"
S/P,"7,0","0,7","28,0","27,0",S/P,"0,3",S/P,S/P,S/P,S/P,<0.1
"10,0","0,5","2,0",<0.1,"0,5",S/P,"6,0",S/P,S/P,"2,0",S/P,S/P
"2,0","44,2",S/P,"12,0",S/P,S/P,"13,0","0,8",S/P,"0,2",S/P,S/P
S/P,"4,0",S/P,S/P,S/P,S/P,"2,0",S/P,S/P,S/P,S/P,S/P
S/P,S/P,S/P,S/P,S/P,S/P,S/P,S/P,S/P,<0.1,S/P,S/P
S/P,,S/P,S/P,S/P,S/P,S/P,S/P,S/P,<0.1,S/P,S/P
S/P,,S/P,S/P,S/P,S/P,S/P,S/P,S/P,"1,0","42,0",S/P
S/P,,S/P,,S/P,,S/P,S/P,,S/P,,S/P
"  124,6","   92,5","   80,8","   55,0","   27,5",,"   23,6","    3,3","    4,7","    9,3","   57,0","   29,3"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Ene,Feb,,,,,,,,,,
"11,0",S/P,,,,,,,,,,
S/P,<0.1,,,,,,,,,,
S/P,"0,4",,,,,,,,,,
S/P,S/P,,,,,,,,,,
S/P,S/P,,,,,,,,,,
S/P,S/P,,,,,,,,,,
S/P,S/P,,,,,,,,,,
S/P,"1,0",,,,,,,,,,
S/P,S/P,,,,,,,,,,
S/P,S/P,,,,,,,,,,
<0.1,S/P,,,,,,,,,,
S/P,<0.1,,,,,,,,,,
S/P,"4,8",,,,,,,,,,
S/P,S/P,,,,,,,,,,
S/P,S/P,,,,,,,,,,
S/P,"2,0",,,,,,,,,,
S/P,"0,2",,,,,,,,,,
"0,1",S/P,,,,,,,,,,
S/P,S/P,,,,,,,,,,
"14,0",S/P,,,,,,,,,,
S/P,S/P,,,,,,,,,,
<0.1,S/P,,,,,,,,,,
S/P,S/P,,,,,,,,,,
S/P,"2,0",,,,,,,,,,
<0.1,S/P,,,,,,,,,,
"15,0",S/P,,,,,,,,,,
"5,0",S/P,,,,,,,,,,
S/P,S/P,,,,,,,,,,
S/P,,,,,,,,,,,
S/P,,,,,,,,,,,
S/P,,,,,,,,,,,
"   45,1","   10,4",,,,,,,,,,
